NORAD_ID,Satellite_Name,Station_Name,Peak_Elevation,Visibility_Start,Visibility_End,Effective_Start,Effective_End,Original_Duration,Night_Overlap_Duration
32729,0 DIRECTV 11,hanle,32.12,2025-10-07 13:45:00+00:00,2025-10-07 15:32:00+00:00,2025-10-07 13:45:00+00:00,2025-10-07 15:32:00+00:00,6420,6420.0
22988,0 USA 99,hanle,52.35,2025-10-07 13:45:00+00:00,2025-10-07 16:38:00+00:00,2025-10-07 13:45:00+00:00,2025-10-07 16:38:00+00:00,10380,10380.0
37602,0 TELSTAR 14R,hanle,51.5,2025-10-07 13:45:00+00:00,2025-10-07 17:56:30+00:00,2025-10-07 13:45:00+00:00,2025-10-07 17:56:30+00:00,15090,15090.0
23176,0 BS-3N,hanle,17.17,2025-10-07 13:45:00+00:00,2025-10-07 14:19:00+00:00,2025-10-07 13:45:00+00:00,2025-10-07 14:19:00+00:00,2040,2040.0
37344,0 ELEKTRO-L,hanle,55.94,2025-10-07 13:45:00+00:00,2025-10-07 19:38:30+00:00,2025-10-07 13:45:00+00:00,2025-10-07 19:38:30+00:00,21210,21210.0
37237,0 HYLAS 1,hanle,51.65,2025-10-07 13:45:00+00:00,2025-10-07 17:14:00+00:00,2025-10-07 13:45:00+00:00,2025-10-07 17:14:00+00:00,12540,12540.0
37218,0 SKYTERRA 1,hanle,33.5,2025-10-07 13:45:00+00:00,2025-10-07 15:35:30+00:00,2025-10-07 13:45:00+00:00,2025-10-07 15:35:30+00:00,6630,6630.0
37185,0 XM-5,hanle,19.1,2025-10-07 13:45:00+00:00,2025-10-07 14:28:00+00:00,2025-10-07 13:45:00+00:00,2025-10-07 14:28:00+00:00,2580,2580.0
23426,0 LUCH,hanle,41.67,2025-10-07 13:45:00+00:00,2025-10-07 19:22:00+00:00,2025-10-07 13:45:00+00:00,2025-10-07 19:22:00+00:00,20220,20220.0
36792,0 ECHOSTAR 15,hanle,16.07,2025-10-07 13:45:00+00:00,2025-10-07 14:13:30+00:00,2025-10-07 13:45:00+00:00,2025-10-07 14:13:30+00:00,1710,1710.0
36516,0 SES 1,hanle,30.66,2025-10-07 13:45:00+00:00,2025-10-07 15:24:30+00:00,2025-10-07 13:45:00+00:00,2025-10-07 15:24:30+00:00,5970,5970.0
