Rank,NORAD ID,Satellite Name,Station Name,Duration (sec),Duration (min),Start Time (UTC),End Time (UTC),Peak Elevation (deg)
1,634,0 SYNCOM 2 (A 26),hanle,21600,360,2025-10-07T17:24:30Z,2025-10-07T23:24:30Z,71.2
2,1317,0 INTELSAT 1-F1,hanle,17250,287.5,2025-10-07T13:45:00Z,2025-10-07T18:32:30Z,59.06
3,2608,0 ATS 1,hanle,16590,276.5,2025-10-07T18:48:00Z,2025-10-07T23:24:30Z,53.19
4,3029,0 ATS 3,hanle,5310,88.5,2025-10-07T13:45:00Z,2025-10-07T15:13:30Z,28.27
5,4068,0 ATS 5,hanle,5940,99,2025-10-07T21:45:30Z,2025-10-07T23:24:30Z,30.51
6,4250,0 SKYNET 1,hanle,5100,85,2025-10-07T13:45:00Z,2025-10-07T15:10:00Z,27.83
7,4297,0 INTELSAT 3-F6,hanle,7260,121,2025-10-07T21:23:30Z,2025-10-07T23:24:30Z,35.26
8,4353,0 NATO 2A,hanle,3720,62,2025-10-07T13:45:00Z,2025-10-07T14:47:00Z,23.19
9,4902,0 NATO 2B,hanle,4650,77.5,2025-10-07T13:45:00Z,2025-10-07T15:02:30Z,26.33
10,5587,0 OPS 9431 (DSCS 2-1),hanle,5100,85,2025-10-07T13:45:00Z,2025-10-07T15:10:00Z,27.91
11,5588,0 OPS 9432 (DSCS 2-2),hanle,1200,20,2025-10-07T23:04:30Z,2025-10-07T23:24:30Z,14.17
12,5851,0 OPS 1570,hanle,6720,112,2025-10-07T13:45:00Z,2025-10-07T15:37:00Z,33.2
13,6380,0 OPS 6063,hanle,19470,324.5,2025-10-07T18:00:00Z,2025-10-07T23:24:30Z,52.08
14,6437,0 ANIK A2 (TELESAT 2),hanle,17730,295.5,2025-10-07T18:29:00Z,2025-10-07T23:24:30Z,55.87
15,7229,0 COSMOS 637,hanle,8460,141,2025-10-07T13:45:00Z,2025-10-07T16:06:00Z,38.27
16,7250,0 WESTAR 1,hanle,21330,355.5,2025-10-07T13:45:00Z,2025-10-07T19:40:30Z,43.26
17,7544,0 INTELSAT 4-F8,hanle,18960,316,2025-10-07T13:45:00Z,2025-10-07T19:01:00Z,42.99
18,8330,0 INTELSAT 4A-F1,hanle,10530,175.5,2025-10-07T13:45:00Z,2025-10-07T16:40:30Z,44.23
19,8357,0 COSMOS 775,hanle,13620,227,2025-10-07T19:37:30Z,2025-10-07T23:24:30Z,48.55
20,8366,0 GOES 1 (SMS-C),hanle,5970,99.5,2025-10-07T13:45:00Z,2025-10-07T15:24:30Z,31.24
21,8482,0 OPS 3165,hanle,5160,86,2025-10-07T13:45:00Z,2025-10-07T15:11:00Z,28.16
22,8513,0 RADUGA 1,hanle,17010,283.5,2025-10-07T18:41:00Z,2025-10-07T23:24:30Z,51.82
23,8585,0 CTS,hanle,13020,217,2025-10-07T13:45:00Z,2025-10-07T17:22:00Z,45.95
24,8697,0 MARISAT 1,hanle,6570,109.5,2025-10-07T13:45:00Z,2025-10-07T15:34:30Z,34.09
25,8746,0 LES 8,hanle,8820,147,2025-10-07T13:45:00Z,2025-10-07T16:12:00Z,41.6
26,8747,0 LES 9,hanle,8190,136.5,2025-10-07T13:45:00Z,2025-10-07T16:01:30Z,38.76
27,8808,0 NATO 3A,hanle,10230,170.5,2025-10-07T20:34:00Z,2025-10-07T23:24:30Z,41.95
28,9047,0 COMSTAR 2,hanle,1320,22,2025-10-07T13:45:00Z,2025-10-07T14:07:00Z,15.26
29,9416,0 RADUGA 2,hanle,20070,334.5,2025-10-07T17:50:00Z,2025-10-07T23:24:30Z,53.96
30,9503,0 EKRAN 1,hanle,15090,251.5,2025-10-07T19:13:00Z,2025-10-07T23:24:30Z,50.22
31,10024,0 INTELSAT 4A-F4,hanle,6780,113,2025-10-07T21:31:30Z,2025-10-07T23:24:30Z,31.2
32,10143,0 HIMAWARI 1 (GMS 1),hanle,20460,341,2025-10-07T13:45:00Z,2025-10-07T19:26:00Z,43.9
33,10294,0 SIRIO,hanle,20070,334.5,2025-10-07T17:50:00Z,2025-10-07T23:24:30Z,58.67
34,10365,0 EKRAN 2,hanle,18390,306.5,2025-10-07T18:18:00Z,2025-10-07T23:24:30Z,53.49
35,10778,0 INTELSAT 4A-F6,hanle,11940,199,2025-10-07T20:05:30Z,2025-10-07T23:24:30Z,46.67
36,10787,0 OPS 8790,hanle,8190,136.5,2025-10-07T13:45:00Z,2025-10-07T16:01:30Z,39.06
37,10792,0 YURI (BSE),hanle,12990,216.5,2025-10-07T19:48:00Z,2025-10-07T23:24:30Z,47.55
38,10855,0 OTS 2,hanle,20010,333.5,2025-10-07T17:51:00Z,2025-10-07T23:24:30Z,59.92
39,10953,0 GOES 3,hanle,10410,173.5,2025-10-07T13:45:00Z,2025-10-07T16:38:30Z,43.7
40,10981,0 GEOS 2,hanle,9960,166,2025-10-07T13:45:00Z,2025-10-07T16:31:00Z,42.06
41,10987,0 RADUGA 4,hanle,13620,227,2025-10-07T19:37:30Z,2025-10-07T23:24:30Z,48.51
42,11153,0 ANIK B1 (TELESAT-4),hanle,17820,297,2025-10-07T13:45:00Z,2025-10-07T18:42:00Z,43.26
43,11440,0 GORIZONT 2,hanle,16470,274.5,2025-10-07T18:50:00Z,2025-10-07T23:24:30Z,53.05
44,11484,0 WESTAR 3,hanle,5460,91,2025-10-07T21:53:30Z,2025-10-07T23:24:30Z,27.07
45,11648,0 GORIZONT 3,hanle,11700,195,2025-10-07T20:09:30Z,2025-10-07T23:24:30Z,44.6
46,11708,0 RADUGA 6,hanle,12630,210.5,2025-10-07T19:54:00Z,2025-10-07T23:24:30Z,46.77
47,11964,0 GOES 4,hanle,3060,51,2025-10-07T22:33:30Z,2025-10-07T23:24:30Z,19.64
48,12003,0 RADUGA 7,hanle,4350,72.5,2025-10-07T13:45:00Z,2025-10-07T14:57:30Z,26.41
49,12065,0 SBS 1,hanle,5010,83.5,2025-10-07T13:45:00Z,2025-10-07T15:08:30Z,30.36
50,12120,0 EKRAN 6,hanle,19290,321.5,2025-10-07T18:03:00Z,2025-10-07T23:24:30Z,56.45
51,12309,0 ESIAFI 1 (COMSTAR 4),hanle,19560,326,2025-10-07T17:58:30Z,2025-10-07T23:24:30Z,60.64
52,12472,0 GOES 5,hanle,12240,204,2025-10-07T13:45:00Z,2025-10-07T17:09:00Z,47.22
53,12564,0 EKRAN 7,hanle,17940,299,2025-10-07T18:25:30Z,2025-10-07T23:24:30Z,55.52
54,12618,0 RADUGA 9,hanle,10500,175,2025-10-07T20:29:30Z,2025-10-07T23:24:30Z,41.69
55,12677,0 HIMAWARI 2 (GMS 2),hanle,5130,85.5,2025-10-07T13:45:00Z,2025-10-07T15:10:30Z,30.12
56,13035,0 SATCOM 4,hanle,2700,45,2025-10-07T22:39:30Z,2025-10-07T23:24:30Z,18.32
57,13069,0 WESTAR 4,hanle,2730,45.5,2025-10-07T13:45:00Z,2025-10-07T14:30:30Z,20.96
58,13269,0 WESTAR 5,hanle,450,7.5,2025-10-07T13:45:00Z,2025-10-07T13:52:30Z,11.76
59,13431,0 ANIK D1 (TELESAT 6),hanle,660,11,2025-10-07T13:45:00Z,2025-10-07T13:56:00Z,12.62
60,13554,0 EKRAN 9,hanle,16170,269.5,2025-10-07T18:55:00Z,2025-10-07T23:24:30Z,54.6
61,13631,0 SATCOM C5,hanle,5370,89.5,2025-10-07T13:45:00Z,2025-10-07T15:14:30Z,32.3
62,13652,0 ANIK C3 (TELESAT-5),hanle,12990,216.5,2025-10-07T13:45:00Z,2025-10-07T17:21:30Z,50.56
63,13974,0 RADUGA 12,hanle,18360,306,2025-10-07T18:18:30Z,2025-10-07T23:24:30Z,58.45
64,13984,0 SATCOM 1R,hanle,20970,349.5,2025-10-07T13:45:00Z,2025-10-07T19:34:30Z,39.3
65,14050,0 GOES 6,hanle,9090,151.5,2025-10-07T13:45:00Z,2025-10-07T16:16:30Z,44.03
66,14134,0 PALAPA B1,hanle,12600,210,2025-10-07T19:54:30Z,2025-10-07T23:24:30Z,50.55
67,14234,0 ARABSAT 1DR (TELSTAR 3A),hanle,10590,176.5,2025-10-07T13:45:00Z,2025-10-07T16:41:30Z,51.63
68,14318,0 INSAT 1B,hanle,7050,117.5,2025-10-07T21:27:00Z,2025-10-07T23:24:30Z,32.16
69,14328,0 SATCOM 2R,hanle,4170,69.5,2025-10-07T13:45:00Z,2025-10-07T14:54:30Z,26.88
70,14365,0 GALAXY 2,hanle,10260,171,2025-10-07T13:45:00Z,2025-10-07T16:36:00Z,50.87
71,14659,0 YURI 2A (BS-2A),hanle,5400,90,2025-10-07T13:45:00Z,2025-10-07T15:15:00Z,32.38
72,14783,0 COSMOS 1540,hanle,21420,357,2025-10-07T17:27:30Z,2025-10-07T23:24:30Z,62.22
73,14867,0 COSMOS 1546,hanle,18810,313.5,2025-10-07T18:11:00Z,2025-10-07T23:24:30Z,59.89
74,14899,0 STTW-T2,hanle,9780,163,2025-10-07T20:41:30Z,2025-10-07T23:24:30Z,40.54
75,14985,0 CHINASAT 5 (SPACENET 1),hanle,16890,281.5,2025-10-07T18:43:00Z,2025-10-07T23:24:30Z,67.23
76,15057,0 RADUGA 15,hanle,6690,111.5,2025-10-07T21:33:00Z,2025-10-07T23:24:30Z,30.78
77,15144,0 GORIZONT 10,hanle,7170,119.5,2025-10-07T13:45:00Z,2025-10-07T15:44:30Z,37.57
78,15152,0 HIMAWARI 3 (GMS 3),hanle,4470,74.5,2025-10-07T13:45:00Z,2025-10-07T14:59:30Z,28.35
