night,norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
1,36397,0 INTELSAT 16,2025-10-07T13:45:00Z,2025-10-07T13:46:30Z,47.23
1,8357,0 COSMOS 775,2025-10-07T19:37:30Z,2025-10-07T19:39:00Z,48.55
1,12120,0 EKRAN 6,2025-10-07T19:41:00Z,2025-10-07T19:42:30Z,56.45
1,21227,0 SPACENET 4 (ASC 2),2025-10-07T21:09:00Z,2025-10-07T21:10:30Z,38.5
1,38740,0 INTELSAT 20,2025-10-07T21:12:30Z,2025-10-07T21:14:00Z,51.86
1,62028,0 GSAT 20,2025-10-07T21:16:00Z,2025-10-07T21:17:30Z,51.84
1,20410,0 LEASAT 5,2025-10-07T21:19:30Z,2025-10-07T21:21:00Z,48.83
1,41434,0 BEIDOU IGSO-6,2025-10-07T21:23:00Z,2025-10-07T21:24:30Z,81.21
1,43867,0 COSMOS 2533,2025-10-07T21:26:30Z,2025-10-07T21:28:00Z,51.85
1,64470,0 CHINASAT-9C,2025-10-07T21:30:00Z,2025-10-07T21:31:30Z,51.42
1,14783,0 COSMOS 1540,2025-10-07T21:33:30Z,2025-10-07T21:35:00Z,62.22
1,42917,0 QZS-3,2025-10-07T21:37:00Z,2025-10-07T21:38:30Z,32.71
1,10365,0 EKRAN 2,2025-10-07T21:40:30Z,2025-10-07T21:42:00Z,53.49
1,58995,0 TELKOMSAT 113BT,2025-10-07T21:44:00Z,2025-10-07T21:45:30Z,42.7
1,29272,0 JCSAT 10,2025-10-07T21:47:30Z,2025-10-07T21:49:00Z,31.98
1,27400,0 ASTRA 3A,2025-10-07T21:51:00Z,2025-10-07T21:52:30Z,60.19
1,24798,0 DFH-3 2,2025-10-07T21:54:30Z,2025-10-07T21:56:00Z,61.05
1,40258,0 LUCH (OLYMP),2025-10-07T21:58:00Z,2025-10-07T21:59:30Z,51.09
1,28786,0 IPSTAR 1,2025-10-07T22:01:30Z,2025-10-07T22:03:00Z,38.33
1,23327,0 ELEKTRO (GOMS),2025-10-07T22:05:00Z,2025-10-07T22:06:30Z,67.22
1,53813,0 CHINASAT 1E,2025-10-07T22:08:30Z,2025-10-07T22:10:00Z,51.86
1,19508,0 CS 3B,2025-10-07T22:12:00Z,2025-10-07T22:13:30Z,37.64
1,21906,0 GALAXY 5,2025-10-07T22:15:30Z,2025-10-07T22:17:00Z,66.43
1,11440,0 GORIZONT 2,2025-10-07T22:19:00Z,2025-10-07T22:20:30Z,53.05
1,25239,0 NSS 806 (INTELSAT 806),2025-10-07T22:22:30Z,2025-10-07T22:24:00Z,52.31
1,45807,0 BEIDOU 3 G3,2025-10-07T22:26:00Z,2025-10-07T22:27:30Z,45.47
1,20643,0 INSAT 1D,2025-10-07T22:29:30Z,2025-10-07T22:31:00Z,67.76
1,37384,0 BEIDOU 8,2025-10-07T22:33:00Z,2025-10-07T22:34:30Z,68.68
1,16526,0 STTW-1,2025-10-07T22:36:30Z,2025-10-07T22:38:00Z,57.94
1,22245,0 GORIZONT 27,2025-10-07T22:40:00Z,2025-10-07T22:41:30Z,66.51
1,22175,0 HELLAS-SAT 1 (DFS 3),2025-10-07T22:43:30Z,2025-10-07T22:45:00Z,47.06
1,634,0 SYNCOM 2 (A 26),2025-10-07T22:47:00Z,2025-10-07T22:48:30Z,71.2
1,39727,0 LUCH 5V,2025-10-07T22:50:30Z,2025-10-07T22:52:00Z,53.5
1,24769,0 BSAT-1A,2025-10-07T22:54:00Z,2025-10-07T22:55:30Z,23.2
1,50319,0 INMARSAT 6-F1,2025-10-07T22:57:30Z,2025-10-07T22:59:00Z,51.84
1,45986,0 EXPRESS 80,2025-10-07T23:01:00Z,2025-10-07T23:02:30Z,51.85
1,22723,0 HISPASAT 1B,2025-10-07T23:04:30Z,2025-10-07T23:06:00Z,65.15
1,21016,0 RADUGA 26,2025-10-07T23:08:00Z,2025-10-07T23:09:30Z,64.47
1,29648,0 MEASAT 3,2025-10-07T23:11:30Z,2025-10-07T23:13:00Z,51.27
1,42951,0 BSAT-4A,2025-10-07T23:15:00Z,2025-10-07T23:16:30Z,44.63
1,23199,0 BRAZILSAT B1,2025-10-07T23:18:30Z,2025-10-07T23:20:00Z,57.7
1,17561,0 GOES 7,2025-10-07T23:22:00Z,2025-10-07T23:23:30Z,66.28
2,37602,0 TELSTAR 14R,2025-10-08T13:45:00Z,2025-10-08T13:46:30Z,51.5
2,38049,0 FENGYUN 2F,2025-10-08T13:48:30Z,2025-10-08T13:50:00Z,30.7
2,14985,0 CHINASAT 5 (SPACENET 1),2025-10-08T18:43:00Z,2025-10-08T18:44:30Z,67.23
2,8808,0 NATO 3A,2025-10-08T20:34:00Z,2025-10-08T20:35:30Z,41.95
2,42662,0 CHINASAT 16,2025-10-08T20:37:30Z,2025-10-08T20:39:00Z,44.22
2,49062,0 CHINASAT 2E,2025-10-08T20:41:00Z,2025-10-08T20:42:30Z,50.02
2,32404,0 THURAYA 3,2025-10-08T20:44:30Z,2025-10-08T20:46:00Z,55.58
2,26388,0 TDRS 8,2025-10-08T20:48:00Z,2025-10-08T20:49:30Z,63.81
2,62876,0 QZS-6,2025-10-08T20:51:30Z,2025-10-08T20:53:00Z,51.7
2,23765,0 AFRICASAT 1 (MEASAT 1),2025-10-08T20:55:00Z,2025-10-08T20:56:30Z,53.6
2,23435,0 USA 107,2025-10-08T20:58:30Z,2025-10-08T21:00:00Z,42.98
2,41748,0 INTELSAT 33E,2025-10-08T21:30:30Z,2025-10-08T21:32:00Z,33.91
2,19330,0 INSAT 1C,2025-10-08T21:34:00Z,2025-10-08T21:35:30Z,61.13
2,48808,0 FENGYUN 4B,2025-10-08T21:37:30Z,2025-10-08T21:39:00Z,47.26
2,20558,0 ASIASAT 1,2025-10-08T21:41:00Z,2025-10-08T21:42:30Z,68.81
2,41793,0 GSAT 18,2025-10-08T21:44:30Z,2025-10-08T21:46:00Z,51.84
2,6380,0 OPS 6063,2025-10-08T21:48:00Z,2025-10-08T21:49:30Z,52.08
2,25492,0 SIRIUS 3,2025-10-08T21:51:30Z,2025-10-08T21:53:00Z,46.02
2,4297,0 INTELSAT 3-F6,2025-10-08T21:55:00Z,2025-10-08T21:56:30Z,35.26
2,40880,0 GSAT 6,2025-10-08T21:58:30Z,2025-10-08T22:00:00Z,51.87
2,21038,0 RADUGA 1-2,2025-10-08T22:02:00Z,2025-10-08T22:03:30Z,61.96
2,40107,0 ASIASAT 8,2025-10-08T22:05:30Z,2025-10-08T22:07:00Z,46.99
2,10792,0 YURI (BSE),2025-10-08T22:09:00Z,2025-10-08T22:10:30Z,47.55
2,22694,0 HGS 4 (GALAXY 4),2025-10-08T22:12:30Z,2025-10-08T22:14:00Z,68.46
2,42815,0 GSAT 17,2025-10-08T22:16:00Z,2025-10-08T22:17:30Z,51.2
2,14134,0 PALAPA B1,2025-10-08T22:19:30Z,2025-10-08T22:21:00Z,50.55
2,25152,0 BRAZILSAT B3,2025-10-08T22:23:00Z,2025-10-08T22:24:30Z,58.45
2,53355,0 SBIRS GEO 6 (USA 336),2025-10-08T22:26:30Z,2025-10-08T22:28:00Z,22.61
2,42695,0 GSAT 9,2025-10-08T22:30:00Z,2025-10-08T22:31:30Z,50.27
2,12564,0 EKRAN 7,2025-10-08T22:33:30Z,2025-10-08T22:35:00Z,55.52
2,39508,0 ABS 2,2025-10-08T22:37:00Z,2025-10-08T22:38:30Z,51.85
2,44067,0 CHINASAT 6C,2025-10-08T22:40:30Z,2025-10-08T22:42:00Z,30.0
2,19928,0 RADUGA 23,2025-10-08T22:44:00Z,2025-10-08T22:45:30Z,56.28
2,23680,0 LUCH 1,2025-10-08T22:47:30Z,2025-10-08T22:49:00Z,68.55
2,45344,0 BEIDOU 3 G2,2025-10-08T22:51:00Z,2025-10-08T22:52:30Z,53.93
2,15237,0 TELSTAR 302,2025-10-08T22:54:30Z,2025-10-08T22:56:00Z,67.17
2,23536,0 BRAZILSAT B2,2025-10-08T22:58:00Z,2025-10-08T22:59:30Z,50.79
2,43611,0 TELSTAR 18V,2025-10-08T23:01:30Z,2025-10-08T23:03:00Z,23.96
2,41882,0 FENGYUN 4A,2025-10-08T23:05:00Z,2025-10-08T23:06:30Z,36.23
2,39460,0 SES 8,2025-10-08T23:08:30Z,2025-10-08T23:10:00Z,50.86
2,63075,0 CHINASAT 10R,2025-10-08T23:12:00Z,2025-10-08T23:13:30Z,44.16
2,15560,0 ARABSAT 1A,2025-10-08T23:15:30Z,2025-10-08T23:17:00Z,20.53
2,22210,0 EKRAN 20,2025-10-08T23:19:00Z,2025-10-08T23:20:30Z,66.22
2,37950,0 AMOS 5,2025-10-08T23:22:30Z,2025-10-08T23:24:00Z,36.98
3,23948,0 ARABSAT 2A,2025-10-09T13:45:00Z,2025-10-09T13:46:30Z,47.09
3,38342,0 NIMIQ 6,2025-10-09T13:48:30Z,2025-10-09T13:50:00Z,38.13
3,21702,0 COSMOS 2155,2025-10-09T13:52:00Z,2025-10-09T13:53:30Z,51.4
3,41945,0 INTELSAT 32E,2025-10-09T13:55:30Z,2025-10-09T13:57:00Z,51.9
3,14234,0 ARABSAT 1DR (TELSTAR 3A),2025-10-09T13:59:00Z,2025-10-09T14:00:30Z,51.63
3,39360,0 SIRIUS FM-6,2025-10-09T14:02:30Z,2025-10-09T14:04:00Z,18.33
3,36792,0 ECHOSTAR 15,2025-10-09T14:06:00Z,2025-10-09T14:07:30Z,16.07
3,8747,0 LES 9,2025-10-09T14:09:30Z,2025-10-09T14:11:00Z,38.76
3,14050,0 GOES 6,2025-10-09T14:13:00Z,2025-10-09T14:14:30Z,44.03
3,37677,0 CHINASAT 10,2025-10-09T18:14:30Z,2025-10-09T18:16:00Z,51.76
3,32252,0 OPTUS D2,2025-10-09T18:18:00Z,2025-10-09T18:19:30Z,53.4
3,41034,0 LAOSAT 1,2025-10-09T21:40:00Z,2025-10-09T21:41:30Z,31.61
3,36108,0 WGS F3 (USA 211),2025-10-09T21:43:30Z,2025-10-09T21:45:00Z,51.81
3,31395,0 NIGCOMSAT 1,2025-10-09T21:47:00Z,2025-10-09T21:48:30Z,59.5
3,26469,0 BRAZILSAT B4,2025-10-09T21:50:30Z,2025-10-09T21:52:00Z,49.41
3,43920,0 CHINASAT 2D,2025-10-09T21:54:00Z,2025-10-09T21:55:30Z,30.44
3,40141,0 ASIASAT 6,2025-10-09T21:57:30Z,2025-10-09T21:59:00Z,38.02
3,58253,0 CHINASAT-6E,2025-10-09T22:01:00Z,2025-10-09T22:02:30Z,41.01
3,38331,0 JCSAT 13,2025-10-09T22:04:30Z,2025-10-09T22:06:00Z,35.04
3,26372,0 GORIZONT 33,2025-10-09T22:08:00Z,2025-10-09T22:09:30Z,31.31
3,14867,0 COSMOS 1546,2025-10-09T22:11:30Z,2025-10-09T22:13:00Z,59.89
3,25546,0 BONUM 1,2025-10-09T22:15:00Z,2025-10-09T22:16:30Z,58.07
3,2608,0 ATS 1,2025-10-09T22:18:30Z,2025-10-09T22:20:00Z,53.19
3,44637,0 TJS-4,2025-10-09T22:22:00Z,2025-10-09T22:23:30Z,51.85
