norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation,night
28626,0 XM-3,2025-10-07T13:45:00Z,2025-10-07T13:46:30Z,41.43,1
14659,0 YURI 2A (BS-2A),2025-10-07T13:48:30Z,2025-10-07T13:50:00Z,32.38,1
23649,0 JCSAT 3,2025-10-07T13:52:00Z,2025-10-07T13:53:30Z,54.58,1
37843,0 VIASAT 1,2025-10-07T13:55:30Z,2025-10-07T13:57:00Z,19.14,1
47240,0 XM-7,2025-10-07T13:59:00Z,2025-10-07T14:00:30Z,42.14,1
37950,0 AMOS 5,2025-10-07T21:26:00Z,2025-10-07T21:27:30Z,36.98,1
23680,0 LUCH 1,2025-10-07T21:29:30Z,2025-10-07T21:31:00Z,68.55,1
38352,0 CHINASAT 2A,2025-10-07T21:33:00Z,2025-10-07T21:34:30Z,50.22,1
41021,0 CHINASAT 2C,2025-10-07T21:36:30Z,2025-10-07T21:38:00Z,47.97,1
19772,0 INTELSAT 515,2025-10-07T21:40:00Z,2025-10-07T21:41:30Z,64.62,1
28184,0 ABS 4 (MBSAT),2025-10-07T21:43:30Z,2025-10-07T21:45:00Z,48.79,1
23010,0 RADUGA 31,2025-10-07T21:47:00Z,2025-10-07T21:48:30Z,58.67,1
41028,0 GSAT 15,2025-10-07T21:50:30Z,2025-10-07T21:52:00Z,51.18,1
19710,0 STTW-3,2025-10-07T21:54:00Z,2025-10-07T21:55:30Z,57.55,1
41744,0 USA 270,2025-10-07T21:57:30Z,2025-10-07T21:59:00Z,29.96,1
14985,0 CHINASAT 5 (SPACENET 1),2025-10-07T22:01:00Z,2025-10-07T22:02:30Z,67.23,1
56759,0 NVS-01,2025-10-07T22:04:30Z,2025-10-07T22:06:00Z,29.12,1
23415,0 DFH-3 1,2025-10-07T22:08:00Z,2025-10-07T22:09:30Z,43.95,1
41903,0 JCSAT 15,2025-10-07T22:11:30Z,2025-10-07T22:13:00Z,44.43,1
41588,0 ABS 2A,2025-10-07T22:15:00Z,2025-10-07T22:16:30Z,51.84,1
40887,0 MUOS 4,2025-10-07T22:18:30Z,2025-10-07T22:20:00Z,54.2,1
21906,0 GALAXY 5,2025-10-07T22:22:00Z,2025-10-07T22:23:30Z,66.43,1
20193,0 SIRIUS W (MARCOPOLO 1),2025-10-07T22:25:30Z,2025-10-07T22:27:00Z,62.31,1
50319,0 INMARSAT 6-F1,2025-10-07T22:29:00Z,2025-10-07T22:30:30Z,51.84,1
15237,0 TELSTAR 302,2025-10-07T22:32:30Z,2025-10-07T22:34:00Z,67.17,1
26638,0 ASTRA 2D,2025-10-07T22:36:00Z,2025-10-07T22:37:30Z,29.11,1
29045,0 JCSAT 9,2025-10-07T22:39:30Z,2025-10-07T22:41:00Z,29.06,1
41194,0 GAOFEN 4,2025-10-07T22:43:00Z,2025-10-07T22:44:30Z,46.85,1
10365,0 EKRAN 2,2025-10-07T22:46:30Z,2025-10-07T22:48:00Z,53.49,1
26394,0 COSMOS 2371,2025-10-07T22:50:00Z,2025-10-07T22:51:30Z,66.57,1
25642,0 RADUGA 1-4,2025-10-07T22:53:30Z,2025-10-07T22:55:00Z,65.29,1
6380,0 OPS 6063,2025-10-07T22:57:00Z,2025-10-07T22:58:30Z,52.08,1
41034,0 LAOSAT 1,2025-10-07T23:00:30Z,2025-10-07T23:02:00Z,31.61,1
12309,0 ESIAFI 1 (COMSTAR 4),2025-10-07T23:04:00Z,2025-10-07T23:05:30Z,60.64,1
15561,0 BRAZILSAT 1,2025-10-07T23:07:30Z,2025-10-07T23:09:00Z,55.76,1
43463,0 BANGABANDHUSAT-1,2025-10-07T23:11:00Z,2025-10-07T23:12:30Z,38.6,1
8808,0 NATO 3A,2025-10-07T23:14:30Z,2025-10-07T23:16:00Z,41.95,1
43587,0 TELKOM-4,2025-10-07T23:18:00Z,2025-10-07T23:19:30Z,45.63,1
23842,0 ASTRA 1F,2025-10-07T23:21:30Z,2025-10-07T23:23:00Z,49.71,1
41382,0 EUTE 65W,2025-10-08T13:45:00Z,2025-10-08T13:46:30Z,51.2,2
22694,0 HGS 4 (GALAXY 4),2025-10-08T18:12:00Z,2025-10-08T18:13:30Z,68.46,2
20558,0 ASIASAT 1,2025-10-08T18:20:30Z,2025-10-08T18:22:00Z,68.81,2
46610,0 GAOFEN 13,2025-10-08T20:57:30Z,2025-10-08T20:59:00Z,39.53,2
63157,0 TJS-15,2025-10-08T21:01:00Z,2025-10-08T21:02:30Z,51.04,2
22096,0 SATCOM C4,2025-10-08T21:18:00Z,2025-10-08T21:19:30Z,36.77,2
45985,0 EXPRESS 103,2025-10-08T21:21:30Z,2025-10-08T21:23:00Z,50.46,2
32404,0 THURAYA 3,2025-10-08T21:25:00Z,2025-10-08T21:26:30Z,55.58,2
37677,0 CHINASAT 10,2025-10-08T21:28:30Z,2025-10-08T21:30:00Z,51.76,2
