norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation
25153,0 INMARSAT 3-F5,2025-10-08T13:45:00Z,2025-10-08T13:46:30Z,61.2
42432,0 SES 10,2025-10-08T13:48:30Z,2025-10-08T13:50:00Z,50.76
40384,0 INMARSAT 5-F2,2025-10-08T13:52:00Z,2025-10-08T13:53:30Z,51.87
8697,0 MARISAT 1,2025-10-08T13:55:30Z,2025-10-08T13:57:00Z,34.09
23176,0 BS-3N,2025-10-08T13:59:00Z,2025-10-08T14:00:30Z,17.17
4353,0 NATO 2A,2025-10-08T14:02:30Z,2025-10-08T14:04:00Z,23.19
15308,0 GALAXY 3,2025-10-08T18:00:00Z,2025-10-08T18:01:30Z,68.24
41194,0 GAOFEN 4,2025-10-08T20:09:30Z,2025-10-08T20:11:00Z,46.85
25492,0 SIRIUS 3,2025-10-08T20:46:00Z,2025-10-08T20:47:30Z,46.02
8357,0 COSMOS 775,2025-10-08T20:49:30Z,2025-10-08T20:51:00Z,48.55
12309,0 ESIAFI 1 (COMSTAR 4),2025-10-08T20:53:00Z,2025-10-08T20:54:30Z,60.64
21765,0 INTELSAT 601,2025-10-08T21:22:30Z,2025-10-08T21:24:00Z,35.63
25315,0 COSMOS 2350,2025-10-08T21:26:00Z,2025-10-08T21:27:30Z,64.83
19596,0 RADUGA 22,2025-10-08T21:38:00Z,2025-10-08T21:39:30Z,30.18
23765,0 AFRICASAT 1 (MEASAT 1),2025-10-08T21:41:30Z,2025-10-08T21:43:00Z,53.6
26107,0 ASIASTAR,2025-10-08T21:45:00Z,2025-10-08T21:46:30Z,54.1
39460,0 SES 8,2025-10-08T21:48:30Z,2025-10-08T21:50:00Z,50.86
19344,0 COSMOS 1961,2025-10-08T21:52:00Z,2025-10-08T21:53:30Z,65.17
25642,0 RADUGA 1-4,2025-10-08T21:55:30Z,2025-10-08T21:57:00Z,65.29
36108,0 WGS F3 (USA 211),2025-10-08T21:59:00Z,2025-10-08T22:00:30Z,51.81
21111,0 COSMOS 2133,2025-10-08T22:02:30Z,2025-10-08T22:04:00Z,67.28
25880,0 TELKOM 1,2025-10-08T22:06:00Z,2025-10-08T22:07:30Z,55.36
26382,0 FENGYUN 2B,2025-10-08T22:09:30Z,2025-10-08T22:11:00Z,26.59
37677,0 CHINASAT 10,2025-10-08T22:13:00Z,2025-10-08T22:14:30Z,51.76
20946,0 GSTAR 4,2025-10-08T22:16:30Z,2025-10-08T22:18:00Z,63.48
14318,0 INSAT 1B,2025-10-08T22:20:00Z,2025-10-08T22:21:30Z,32.16
20693,0 COSMOS 2085,2025-10-08T22:23:30Z,2025-10-08T22:25:00Z,66.42
11440,0 GORIZONT 2,2025-10-08T22:27:00Z,2025-10-08T22:28:30Z,53.05
20193,0 SIRIUS W (MARCOPOLO 1),2025-10-08T22:30:30Z,2025-10-08T22:32:00Z,62.31
42942,0 ASIASAT 9,2025-10-08T22:34:00Z,2025-10-08T22:35:30Z,36.44
41836,0 HIMAWARI 9,2025-10-08T22:37:30Z,2025-10-08T22:39:00Z,21.67
43587,0 TELKOM-4,2025-10-08T22:41:00Z,2025-10-08T22:42:30Z,45.63
60179,0 CHINASAT-3A,2025-10-08T22:44:30Z,2025-10-08T22:46:00Z,48.7
32767,0 VINASAT 1,2025-10-08T22:48:00Z,2025-10-08T22:49:30Z,28.91
10855,0 OTS 2,2025-10-08T22:51:30Z,2025-10-08T22:53:00Z,59.92
32478,0 EXPRESS AM-33,2025-10-08T22:55:00Z,2025-10-08T22:56:30Z,50.21
30794,0 SKYNET 5A,2025-10-08T22:58:30Z,2025-10-08T23:00:00Z,53.13
44067,0 CHINASAT 6C,2025-10-08T23:02:00Z,2025-10-08T23:03:30Z,30.0
23448,0 RADUGA 32,2025-10-08T23:05:30Z,2025-10-08T23:07:00Z,68.01
42691,0 KOREASAT 7,2025-10-08T23:09:00Z,2025-10-08T23:10:30Z,40.8
50321,0 SHIYAN 12 01 (SY-12 01),2025-10-08T23:12:30Z,2025-10-08T23:14:00Z,43.7
21055,0 ITALSAT 1,2025-10-08T23:16:00Z,2025-10-08T23:17:30Z,27.62
43867,0 COSMOS 2533,2025-10-08T23:19:30Z,2025-10-08T23:21:00Z,51.85
40367,0 FENGYUN 2G,2025-10-08T23:23:00Z,2025-10-08T23:24:30Z,52.31
