norad_id,satellite_name,observation_start_utc,observation_end_utc,peak_elevation,night
22253,0 SUPERBIRD A1,2025-10-07T13:45:00Z,2025-10-07T13:46:30Z,11.84,1
34111,0 TELSTAR 11N,2025-10-07T13:48:30Z,2025-10-07T13:50:00Z,51.89,1
44709,0 BEIDOU 3 IGSO-3,2025-10-07T20:53:00Z,2025-10-07T20:54:30Z,27.29,1
41241,0 IRNSS 1E,2025-10-07T20:56:30Z,2025-10-07T20:58:00Z,68.44,1
9416,0 RADUGA 2,2025-10-07T21:00:00Z,2025-10-07T21:01:30Z,53.96,1
25258,0 UFO 8 (USA 138),2025-10-07T21:31:00Z,2025-10-07T21:32:30Z,34.01,1
43432,0 COSMOS 2526,2025-10-07T21:38:30Z,2025-10-07T21:40:00Z,31.91,1
37238,0 INTELSAT 17,2025-10-07T21:42:00Z,2025-10-07T21:43:30Z,51.87,1
40147,0 MEASAT 3B,2025-10-07T21:45:30Z,2025-10-07T21:47:00Z,51.56,1
49505,0 CHINASAT 1D,2025-10-07T21:49:00Z,2025-10-07T21:50:30Z,30.36,1
22694,0 HGS 4 (GALAXY 4),2025-10-07T21:52:30Z,2025-10-07T21:54:00Z,68.46,1
43587,0 TELKOM-4,2025-10-07T21:56:00Z,2025-10-07T21:57:30Z,45.63,1
40107,0 ASIASAT 8,2025-10-07T21:59:30Z,2025-10-07T22:01:00Z,46.99,1
24798,0 DFH-3 2,2025-10-07T22:03:00Z,2025-10-07T22:04:30Z,61.05,1
19710,0 STTW-3,2025-10-07T22:06:30Z,2025-10-07T22:08:00Z,57.55,1
16526,0 STTW-1,2025-10-07T22:10:00Z,2025-10-07T22:11:30Z,57.94,1
40887,0 MUOS 4,2025-10-07T22:13:30Z,2025-10-07T22:15:00Z,54.2,1
38098,0 INTELSAT 22,2025-10-07T22:17:00Z,2025-10-07T22:18:30Z,51.86,1
29045,0 JCSAT 9,2025-10-07T22:20:30Z,2025-10-07T22:22:00Z,29.06,1
19928,0 RADUGA 23,2025-10-07T22:24:00Z,2025-10-07T22:25:30Z,56.28,1
57624,0 LUDI TANCE-4 01A,2025-10-07T22:27:30Z,2025-10-07T22:29:00Z,35.13,1
38740,0 INTELSAT 20,2025-10-07T22:31:00Z,2025-10-07T22:32:30Z,51.86,1
28117,0 UFO 11 (USA 174),2025-10-07T22:34:30Z,2025-10-07T22:36:00Z,58.07,1
634,0 SYNCOM 2 (A 26),2025-10-07T22:38:00Z,2025-10-07T22:39:30Z,71.2,1
31395,0 NIGCOMSAT 1,2025-10-07T22:41:30Z,2025-10-07T22:43:00Z,59.5,1
52255,0 CHINASAT 6D,2025-10-07T22:45:00Z,2025-10-07T22:46:30Z,34.2,1
45986,0 EXPRESS 80,2025-10-07T22:48:30Z,2025-10-07T22:50:00Z,51.85,1
14318,0 INSAT 1B,2025-10-07T22:52:00Z,2025-10-07T22:53:30Z,32.16,1
13554,0 EKRAN 9,2025-10-07T22:55:30Z,2025-10-07T22:57:00Z,54.6,1
41469,0 IRNSS 1G,2025-10-07T22:59:00Z,2025-10-07T23:00:30Z,32.73,1
41911,0 TJS-2,2025-10-07T23:02:30Z,2025-10-07T23:04:00Z,51.75,1
20923,0 GORIZONT 21,2025-10-07T23:06:00Z,2025-10-07T23:07:30Z,17.2,1
45465,0 AEHF 6 (USA 298),2025-10-07T23:09:30Z,2025-10-07T23:11:00Z,23.38,1
43463,0 BANGABANDHUSAT-1,2025-10-07T23:13:00Z,2025-10-07T23:14:30Z,38.6,1
10778,0 INTELSAT 4A-F6,2025-10-07T23:16:30Z,2025-10-07T23:18:00Z,46.67,1
41021,0 CHINASAT 2C,2025-10-07T23:20:00Z,2025-10-07T23:21:30Z,47.97,1
19484,0 SBS 5,2025-10-08T13:45:00Z,2025-10-08T13:46:30Z,52.94,2
39168,0 WGS 5 (USA 243),2025-10-08T13:48:30Z,2025-10-08T13:50:00Z,51.87,2
58253,0 CHINASAT-6E,2025-10-08T20:48:30Z,2025-10-08T20:50:00Z,41.01,2
10987,0 RADUGA 4,2025-10-08T20:52:00Z,2025-10-08T20:53:30Z,48.51,2
38107,0 APSTAR 7,2025-10-08T20:55:30Z,2025-10-08T20:57:00Z,51.85,2
46610,0 GAOFEN 13,2025-10-08T20:59:00Z,2025-10-08T21:00:30Z,39.53,2
6437,0 ANIK A2 (TELESAT 2),2025-10-08T21:02:30Z,2025-10-08T21:04:00Z,55.87,2
60606,0 CHINASAT 4A,2025-10-08T21:06:00Z,2025-10-08T21:07:30Z,38.3,2
23680,0 LUCH 1,2025-10-08T21:09:30Z,2025-10-08T21:11:00Z,68.55,2
65486,0 SHIYAN 29,2025-10-08T21:13:00Z,2025-10-08T21:14:30Z,81.21,2
44481,0 AEHF 5 (USA 292),2025-10-08T21:16:30Z,2025-10-08T21:18:00Z,52.44,2
62876,0 QZS-6,2025-10-08T21:20:00Z,2025-10-08T21:21:30Z,51.7,2
39157,0 CHINASAT 11,2025-10-08T21:23:30Z,2025-10-08T21:25:00Z,50.06,2
23327,0 ELEKTRO (GOMS),2025-10-08T21:27:00Z,2025-10-08T21:28:30Z,67.22,2
22028,0 EUTE 2-F4,2025-10-08T21:30:30Z,2025-10-08T21:32:00Z,63.96,2
26892,0 COSMOS 2379,2025-10-08T21:34:00Z,2025-10-08T21:35:30Z,65.26,2
41586,0 BD-2-G7,2025-10-08T21:37:30Z,2025-10-08T21:39:00Z,45.34,2
23010,0 RADUGA 31,2025-10-08T21:41:00Z,2025-10-08T21:42:30Z,58.67,2
18384,0 COSMOS 1888,2025-10-08T22:17:30Z,2025-10-08T22:19:00Z,22.53,2
41121,0 COSMOS 2513,2025-10-08T22:21:00Z,2025-10-08T22:22:30Z,51.83,2
28194,0 RADUGA 1-7,2025-10-08T22:24:30Z,2025-10-08T22:26:00Z,55.5,2
29272,0 JCSAT 10,2025-10-08T22:28:00Z,2025-10-08T22:29:30Z,31.98,2
36590,0 BEIDOU 4,2025-10-08T22:31:30Z,2025-10-08T22:33:00Z,53.32,2
8513,0 RADUGA 1,2025-10-08T22:35:00Z,2025-10-08T22:36:30Z,51.82,2
8808,0 NATO 3A,2025-10-08T22:38:30Z,2025-10-08T22:40:00Z,41.95,2
13035,0 SATCOM 4,2025-10-08T22:42:00Z,2025-10-08T22:43:30Z,18.32,2
11484,0 WESTAR 3,2025-10-08T22:45:30Z,2025-10-08T22:47:00Z,27.07,2
37207,0 BSAT-3B,2025-10-08T22:49:00Z,2025-10-08T22:50:30Z,44.57,2
28184,0 ABS 4 (MBSAT),2025-10-08T22:52:30Z,2025-10-08T22:54:00Z,48.79,2
41725,0 TIANTONG-1 1,2025-10-08T22:56:00Z,2025-10-08T22:57:30Z,52.13,2
33274,0 SUPERBIRD 7,2025-10-08T22:59:30Z,2025-10-08T23:01:00Z,20.06,2
63157,0 TJS-15,2025-10-08T23:03:00Z,2025-10-08T23:04:30Z,51.04,2
49062,0 CHINASAT 2E,2025-10-08T23:06:30Z,2025-10-08T23:08:00Z,50.02,2
41836,0 HIMAWARI 9,2025-10-08T23:10:00Z,2025-10-08T23:11:30Z,21.67,2
21016,0 RADUGA 26,2025-10-08T23:13:30Z,2025-10-08T23:15:00Z,64.47,2
40141,0 ASIASAT 6,2025-10-08T23:17:00Z,2025-10-08T23:18:30Z,38.02,2
17561,0 GOES 7,2025-10-08T23:20:30Z,2025-10-08T23:22:00Z,66.28,2
22931,0 THAICOM 1,2025-10-09T13:45:00Z,2025-10-09T13:46:30Z,62.53,3
16649,0 GSTAR 2,2025-10-09T13:48:30Z,2025-10-09T13:50:00Z,31.87,3
20777,0 EUTE 2-F1,2025-10-09T17:34:30Z,2025-10-09T17:36:00Z,64.54,3
23731,0 INSAT 2C,2025-10-09T20:06:00Z,2025-10-09T20:07:30Z,53.18,3
50321,0 SHIYAN 12 01 (SY-12 01),2025-10-09T20:42:30Z,2025-10-09T20:44:00Z,43.7,3
46112,0 BSAT-4B,2025-10-09T20:46:00Z,2025-10-09T20:47:30Z,44.6,3
19330,0 INSAT 1C,2025-10-09T20:49:30Z,2025-10-09T20:51:00Z,61.13,3
41034,0 LAOSAT 1,2025-10-09T21:40:00Z,2025-10-09T21:41:30Z,31.61,3
38352,0 CHINASAT 2A,2025-10-09T21:43:30Z,2025-10-09T21:45:00Z,50.22,3
56759,0 NVS-01,2025-10-09T21:48:00Z,2025-10-09T21:49:30Z,29.12,3
25315,0 COSMOS 2350,2025-10-09T21:51:30Z,2025-10-09T21:53:00Z,64.83,3
39500,0 THAICOM 6,2025-10-09T21:55:00Z,2025-10-09T21:56:30Z,51.82,3
43491,0 FENGYUN 2H,2025-10-09T21:58:30Z,2025-10-09T22:00:00Z,51.75,3
23765,0 AFRICASAT 1 (MEASAT 1),2025-10-09T22:02:00Z,2025-10-09T22:03:30Z,53.6,3
28463,0 EXPRESS AM-1,2025-10-09T22:05:30Z,2025-10-09T22:07:00Z,47.44,3
20693,0 COSMOS 2085,2025-10-09T22:09:00Z,2025-10-09T22:10:30Z,66.42,3
38070,0 WGS F4 (USA 233),2025-10-09T22:12:30Z,2025-10-09T22:14:00Z,51.8,3
22723,0 HISPASAT 1B,2025-10-09T22:16:00Z,2025-10-09T22:17:30Z,65.15,3
52940,0 WFOV (USA 332),2025-10-09T22:19:30Z,2025-10-09T22:21:00Z,40.32,3
53355,0 SBIRS GEO 6 (USA 336),2025-10-09T22:23:00Z,2025-10-09T22:24:30Z,22.61,3
58582,0 YAOGAN-41,2025-10-09T22:26:30Z,2025-10-09T22:28:00Z,35.64,3
19073,0 COSMOS 1940,2025-10-09T22:30:00Z,2025-10-09T22:31:30Z,20.36,3
27775,0 COSMOS 2397,2025-10-09T22:33:30Z,2025-10-09T22:35:00Z,30.73,3
27400,0 ASTRA 3A,2025-10-09T22:37:00Z,2025-10-09T22:38:30Z,60.19,3
47321,0 TIANTONG-1 3,2025-10-09T22:40:30Z,2025-10-09T22:42:00Z,53.91,3
39460,0 SES 8,2025-10-09T22:44:00Z,2025-10-09T22:45:30Z,50.86,3
62028,0 GSAT 20,2025-10-09T22:47:30Z,2025-10-09T22:49:00Z,51.84,3
10024,0 INTELSAT 4A-F4,2025-10-09T22:51:00Z,2025-10-09T22:52:30Z,31.2,3
20643,0 INSAT 1D,2025-10-09T22:54:30Z,2025-10-09T22:56:00Z,67.76,3
39613,0 EXPRESS AT2,2025-10-09T22:58:00Z,2025-10-09T22:59:30Z,22.42,3
21906,0 GALAXY 5,2025-10-09T23:01:30Z,2025-10-09T23:03:00Z,66.43,3
26695,0 SKYNET 4F,2025-10-09T23:05:00Z,2025-10-09T23:06:30Z,57.43,3
12120,0 EKRAN 6,2025-10-09T23:08:30Z,2025-10-09T23:10:00Z,56.45,3
13974,0 RADUGA 12,2025-10-09T23:12:00Z,2025-10-09T23:13:30Z,58.45,3
10294,0 SIRIO,2025-10-09T23:15:30Z,2025-10-09T23:17:00Z,58.67,3
25880,0 TELKOM 1,2025-10-09T23:19:00Z,2025-10-09T23:20:30Z,55.36,3
14134,0 PALAPA B1,2025-10-09T23:22:30Z,2025-10-09T23:24:00Z,50.55,3
15385,0 SPACENET 2,2025-10-10T13:45:00Z,2025-10-10T13:46:30Z,49.51,4
43175,0 SES 14,2025-10-10T13:48:30Z,2025-10-10T13:50:00Z,51.88,4
38741,0 HYLAS 2,2025-10-10T13:52:00Z,2025-10-10T13:53:30Z,50.55,4
41382,0 EUTE 65W,2025-10-10T13:55:30Z,2025-10-10T13:57:00Z,51.2,4
26880,0 USA 159,2025-10-10T13:59:00Z,2025-10-10T14:00:30Z,56.32,4
41942,0 HISPASAT 36W-1,2025-10-10T14:02:30Z,2025-10-10T14:04:00Z,51.89,4
28526,0 NSS 10 (AMC-12),2025-10-10T14:06:00Z,2025-10-10T14:07:30Z,56.83,4
4068,0 ATS 5,2025-10-10T21:45:30Z,2025-10-10T21:47:00Z,30.51,4
50002,0 EXPRESS AMU-3,2025-10-10T21:49:00Z,2025-10-10T21:50:30Z,48.07,4
44067,0 CHINASAT 6C,2025-10-10T21:52:30Z,2025-10-10T21:54:00Z,30.0,4
48618,0 SBIRS GEO 5 (USA 315),2025-10-10T21:56:00Z,2025-10-10T21:57:30Z,55.46,4
45863,0 APSTAR 6D,2025-10-10T22:02:00Z,2025-10-10T22:03:30Z,27.22,4
26107,0 ASIASTAR,2025-10-10T22:05:30Z,2025-10-10T22:07:00Z,54.1,4
37749,0 KAZSAT 2,2025-10-10T22:09:00Z,2025-10-10T22:10:30Z,51.87,4
41752,0 INSAT 3DR,2025-10-10T22:12:30Z,2025-10-10T22:14:00Z,51.83,4
